Actual,Sensor
72.02,72.00
72.02,72.00
72.03,72.00
72.03,72.00
72.04,72.00
72.05,72.00
72.05,72.00
72.06,72.00
72.06,72.00
72.07,72.00
72.08,72.00
72.08,72.00
72.09,72.01
72.09,72.01
72.10,72.01
72.11,72.01
72.11,72.01
72.12,72.01
72.12,72.01
72.13,72.01
72.14,72.01
72.14,72.01
72.15,72.01
72.15,72.01
72.16,72.02
72.16,72.02
72.17,72.02
72.18,72.02
72.18,72.02
72.19,72.02
72.19,72.02
72.20,72.02
72.20,72.02
72.21,72.03
72.22,72.03
72.22,72.03
72.23,72.03
72.23,72.03
72.24,72.03
72.24,72.04
72.25,72.04
72.26,72.04
72.26,72.04
72.27,72.04
72.27,72.04
72.28,72.04
72.28,72.05
72.29,72.05
72.30,72.05
72.30,72.05
72.31,72.05
72.31,72.06
72.32,72.06
72.32,72.06
72.33,72.06
72.34,72.06
72.34,72.07
72.35,72.07
72.35,72.07
72.36,72.07
72.36,72.07
72.37,72.08
72.37,72.08
72.38,72.08
72.39,72.08
72.39,72.09
72.40,72.09
72.40,72.09
72.41,72.09
72.41,72.09
72.42,72.10
72.42,72.10
72.43,72.10
72.43,72.10
72.44,72.11
72.45,72.11
72.45,72.11
72.46,72.11
72.46,72.12
72.47,72.12
